%roll pitch yaw
0.00720956 -0.00536752 -0.150016
0.00721928 -0.00536641 -0.150025
0.00721677 -0.00537636 -0.150038
0.00721046 -0.00539611 -0.150035
0.00721028 -0.00539666 -0.150025
0.0072272 -0.00539459 -0.15002
0.00723727 -0.00540156 -0.150025
0.00725078 -0.00539946 -0.150026
0.00725741 -0.00539325 -0.15002
0.00725544 -0.00540036 -0.150014
0.00725074 -0.00539769 -0.150018
0.00724476 -0.00538996 -0.15002
0.00724853 -0.00539483 -0.150026
0.0072609 -0.00539795 -0.150024
0.00725774 -0.00540247 -0.150021
0.00726662 -0.00540804 -0.150029
0.00725647 -0.00540111 -0.150031
0.0072468 -0.00540638 -0.150042
0.00723893 -0.00542211 -0.150051
0.00723125 -0.00542924 -0.150044
0.00723278 -0.00541542 -0.150042
0.00722697 -0.00541533 -0.150046
0.00721511 -0.00542019 -0.150056
0.00720364 -0.00541734 -0.150061
0.00720322 -0.0054245 -0.150064
0.00720333 -0.00543083 -0.150063
0.00719519 -0.00541938 -0.150061
0.00719265 -0.0054196 -0.150055
0.00718346 -0.00541778 -0.150037
0.00717664 -0.00541112 -0.150034
0.00718304 -0.00541185 -0.150038
0.00719037 -0.00541752 -0.150038
0.00719496 -0.00541223 -0.150036
0.00719228 -0.00540286 -0.150053
0.0071958 -0.00539611 -0.150049
0.00720456 -0.00537683 -0.150038
0.00721043 -0.00537806 -0.150036
0.0072184 -0.00538644 -0.150021
0.00722155 -0.0053855 -0.15002
0.007219 -0.0053914 -0.15001
0.00720986 -0.00539387 -0.150005
0.00720428 -0.00538247 -0.150005
0.0072014 -0.00537696 -0.150013
0.00719225 -0.00538135 -0.15002
0.00719558 -0.00537058 -0.150034
0.00719672 -0.00537225 -0.150052
0.00720395 -0.0053711 -0.150035
0.0072066 -0.00536099 -0.150015
0.00720786 -0.00536574 -0.150001
0.00720443 -0.00537615 -0.150002
0.00720644 -0.00537181 -0.150005
0.00720542 -0.00537547 -0.15001
0.00719832 -0.0053801 -0.150023
0.00719008 -0.00537496 -0.15002
0.00718154 -0.00538271 -0.150031
0.0071835 -0.00538825 -0.150025
0.00717841 -0.00536999 -0.150034
0.00717807 -0.00536595 -0.150028
0.0071841 -0.00536081 -0.150004
0.00718352 -0.00535258 -0.14999
0.00718875 -0.00535594 -0.149961
0.0071986 -0.00535037 -0.149949
0.00719979 -0.00534062 -0.149962
0.0072123 -0.00535416 -0.14997
0.00721931 -0.00536144 -0.149989
0.00723667 -0.00535641 -0.149994
0.00724925 -0.00536169 -0.149989
0.00725339 -0.00536373 -0.14999
0.00725619 -0.0053564 -0.14999
0.0072614 -0.00535856 -0.149989
0.00725759 -0.00535907 -0.149989
0.00725505 -0.00535019 -0.14999
0.00725137 -0.00536363 -0.14997
0.00725325 -0.00536879 -0.149963
0.00725598 -0.0053631 -0.149957
0.00726379 -0.00536208 -0.14995
0.00726347 -0.00535178 -0.149963
0.00726529 -0.00533847 -0.149987
0.00726872 -0.00534229 -0.15
0.00727018 -0.00533688 -0.15001
0.00726426 -0.0053272 -0.150005
0.00725785 -0.00534397 -0.150007
0.00725797 -0.00535784 -0.149992
0.00726295 -0.00535937 -0.149991
0.00725192 -0.00536396 -0.149977
0.00725 -0.00536631 -0.149971
0.00725076 -0.00536921 -0.149973
0.00726281 -0.00537033 -0.149975
0.00726945 -0.00536415 -0.149976
0.00725974 -0.00535032 -0.149988
0.00725846 -0.00535243 -0.15
0.00726003 -0.00533726 -0.150021
0.00725941 -0.00533265 -0.150041
0.00725389 -0.0053489 -0.150051
0.00724485 -0.00534764 -0.150067
0.007241 -0.00534238 -0.150085
0.00724279 -0.00534779 -0.150081
0.00724898 -0.00535109 -0.150071
0.00724122 -0.00535127 -0.150083
0.00724327 -0.00536186 -0.15007
0.00724195 -0.00537266 -0.150048
0.00724022 -0.00537661 -0.150044
0.00723945 -0.0053904 -0.150048
0.00724854 -0.00537669 -0.150056
0.00725313 -0.00536578 -0.150049
0.00726074 -0.00537218 -0.150042
0.00726979 -0.0053772 -0.150047
0.00726497 -0.00537942 -0.150055
0.00726407 -0.00538668 -0.150064
0.00725073 -0.00537843 -0.150079
0.00724428 -0.00537329 -0.150098
0.00723975 -0.00536759 -0.150114
0.00723247 -0.00535876 -0.150131
0.00722384 -0.00535284 -0.150143
0.0072258 -0.00536249 -0.150141
0.00722604 -0.00536515 -0.150137
0.00722687 -0.00536892 -0.150137
0.00722639 -0.00538593 -0.150136
0.0072225 -0.00538378 -0.150134
0.0072258 -0.00538227 -0.150131
0.00722435 -0.00539066 -0.150126
0.00721234 -0.00538503 -0.150118
0.00720986 -0.00539872 -0.150101
0.00720662 -0.00541259 -0.150086
0.00720223 -0.00540385 -0.150077
0.00720078 -0.00539302 -0.150064
0.00720521 -0.00539186 -0.150056
0.00720868 -0.00537777 -0.150042
0.00722469 -0.00537115 -0.15006
0.00723102 -0.0053799 -0.150056
0.0072267 -0.0053625 -0.15005
0.00722468 -0.00535877 -0.15005
0.0072301 -0.00536224 -0.150059
0.00722909 -0.00537706 -0.150073
0.00723047 -0.00538387 -0.150062
0.00722838 -0.00538022 -0.150063
0.00722651 -0.00536087 -0.150062
0.00721667 -0.00534613 -0.150068
0.00721177 -0.00534246 -0.15008
0.00722582 -0.00534779 -0.150088
0.0072316 -0.0053608 -0.150087
0.00723608 -0.00537662 -0.150078
0.00722634 -0.00537413 -0.150066
0.00722149 -0.0053566 -0.150045
0.00722739 -0.00535229 -0.150024
0.00723354 -0.00536137 -0.150029
0.00724919 -0.00537079 -0.150036
0.00726366 -0.00537581 -0.150035
0.00726179 -0.00536255 -0.150024
0.00724369 -0.00536088 -0.150019
0.00723478 -0.00535762 -0.150003
0.00723294 -0.00535111 -0.149992
0.00722979 -0.00535754 -0.149994
0.00723 -0.00535749 -0.149986
0.00723286 -0.0053539 -0.149981
0.00724426 -0.00534951 -0.149985
0.00725041 -0.00535148 -0.149993
0.00725929 -0.00534735 -0.150005
0.00726715 -0.00535844 -0.150012
0.00726905 -0.00536202 -0.15001
0.00727487 -0.00534249 -0.150015
0.00726812 -0.0053521 -0.150037
0.00727078 -0.00536615 -0.150047
0.00728058 -0.00535553 -0.150074
0.00727765 -0.00536788 -0.150086
0.00728138 -0.0053746 -0.1501
0.00728297 -0.00537141 -0.150089
0.00728356 -0.00537781 -0.150082
0.00728457 -0.00537288 -0.150083
0.00729081 -0.00534923 -0.150077
0.00729196 -0.00535957 -0.150073
0.00729374 -0.00535747 -0.150082
0.00729639 -0.00535504 -0.150079
0.00728961 -0.00536548 -0.150082
0.0072739 -0.00536412 -0.150088
0.00726683 -0.00535123 -0.15009
0.00726169 -0.00535427 -0.150093
0.00725771 -0.00534742 -0.150093
0.00725249 -0.00534517 -0.150074
0.007255 -0.00535712 -0.15006
0.00726034 -0.00536919 -0.150064
0.00726414 -0.00536522 -0.150057
0.00727215 -0.00536992 -0.150057
0.00728273 -0.0053735 -0.150044
0.00728799 -0.00536304 -0.150034
0.0072964 -0.00537082 -0.150032
0.00729818 -0.00537148 -0.150026
0.00729268 -0.00534934 -0.150013
0.0072951 -0.00535142 -0.149999
0.00730853 -0.00535834 -0.149986
0.0073114 -0.0053528 -0.149972
0.00730967 -0.00535598 -0.149967
0.00730636 -0.0053499 -0.149965
0.00729783 -0.00534446 -0.149955
0.00729894 -0.00535186 -0.14994
0.00730933 -0.00534195 -0.149946
0.00732062 -0.00533316 -0.149964
0.00732781 -0.00534615 -0.149981
0.00733136 -0.00534794 -0.149983
0.00732232 -0.00534336 -0.149985
0.00731574 -0.00534819 -0.149989
0.0073006 -0.0053387 -0.14999
0.00728502 -0.00532649 -0.149996
0.00727665 -0.00532726 -0.149987
0.00727657 -0.00531993 -0.149981
0.00727878 -0.00533113 -0.149976
0.00727529 -0.0053392 -0.14998
0.00727814 -0.00533532 -0.149986
0.00728896 -0.00533075 -0.149996
0.00729336 -0.00533217 -0.149995
0.00730121 -0.00532428 -0.150008
0.00730104 -0.00531008 -0.150006
0.00729764 -0.0053139 -0.150006
0.00729596 -0.00530575 -0.15001
0.00730132 -0.00530543 -0.149999
0.00730134 -0.00532635 -0.149992
0.00730191 -0.00532577 -0.149981
0.00730074 -0.00533638 -0.149987
0.00730084 -0.00534804 -0.149975
0.00730927 -0.00535173 -0.149967
0.00732258 -0.00534848 -0.149965
0.00733269 -0.00533703 -0.149973
0.00733113 -0.00532429 -0.149986
0.0073249 -0.00534073 -0.149989
0.00731883 -0.00535366 -0.149986
0.00731546 -0.00534354 -0.149991
0.00731453 -0.00533682 -0.150001
0.00731191 -0.00533734 -0.150012
0.00729873 -0.00533594 -0.150032
0.00729595 -0.00532719 -0.150039
0.00729245 -0.00533182 -0.150033
0.00728979 -0.00534603 -0.150031
0.00729301 -0.00536455 -0.150041
0.00729086 -0.00536623 -0.150041
0.00728941 -0.00536054 -0.150045
0.00729426 -0.00536549 -0.150062
0.00729325 -0.0053523 -0.150069
0.00730296 -0.00535679 -0.150078
0.00731596 -0.00536687 -0.150083
0.00731246 -0.00537026 -0.150079
0.00730968 -0.00538412 -0.150084
0.00730764 -0.00539551 -0.150073
0.00730552 -0.00540603 -0.150082
0.00730413 -0.00541875 -0.150082
0.00731294 -0.0054105 -0.150084
0.00730181 -0.00539453 -0.150102
0.00729406 -0.0053853 -0.150124
0.00729936 -0.00537423 -0.150132
0.00729924 -0.00535969 -0.15012
0.0072903 -0.00535132 -0.150106
0.00729079 -0.00534351 -0.150101
0.00729198 -0.00534606 -0.150104
0.00729731 -0.00535891 -0.150111
0.00730627 -0.0053773 -0.150115
0.00730634 -0.00539322 -0.150101
0.00728866 -0.00540583 -0.150107
0.00729093 -0.00540726 -0.150115
0.00729449 -0.00540559 -0.150108
0.00730245 -0.00539432 -0.150102
0.00731541 -0.00538313 -0.150109
0.00731524 -0.00537526 -0.150123
0.00731588 -0.00536342 -0.150134
0.00731584 -0.00535222 -0.150136
0.00732338 -0.00535352 -0.150154
0.00732832 -0.00535845 -0.150177
0.0073338 -0.00536624 -0.150181
0.00733266 -0.00537971 -0.150172
0.00732818 -0.00540551 -0.15017
0.00731406 -0.00542765 -0.150164
0.00730317 -0.00543076 -0.150163
0.00730181 -0.00541372 -0.150156
0.0073092 -0.00539236 -0.150148
0.00731046 -0.00537969 -0.150144
0.00731457 -0.00538132 -0.150146
0.00731425 -0.00538788 -0.150132
0.00731529 -0.00540458 -0.150125
0.00731179 -0.00541119 -0.150103
0.00732194 -0.00540764 -0.150098
0.00732696 -0.00540661 -0.150089
0.0073282 -0.00540413 -0.150084
0.00732944 -0.00542457 -0.150088
0.00733868 -0.00543836 -0.150099
0.00734551 -0.00541845 -0.150106
0.00735153 -0.00539388 -0.150105
0.00734978 -0.00538039 -0.150119
0.00735607 -0.00539087 -0.150128
0.00735179 -0.00539207 -0.15012
0.00734426 -0.00539487 -0.150122
0.00734265 -0.0054044 -0.150131
0.00734991 -0.00541669 -0.150153
0.00734732 -0.00542086 -0.15016
0.00734655 -0.00543347 -0.150161
0.00735826 -0.00542211 -0.150166
0.00736382 -0.00542089 -0.150167
0.00736101 -0.00544388 -0.150172
0.00736055 -0.00545279 -0.150172
0.00736467 -0.00547647 -0.150168
0.00736862 -0.00549158 -0.150156
0.00735385 -0.00548434 -0.150147
0.00734386 -0.00548855 -0.150145
0.00734103 -0.00549276 -0.150147
0.00734669 -0.00547326 -0.150141
0.00734666 -0.00547637 -0.15015
0.00734241 -0.00546922 -0.150169
0.00733666 -0.00546666 -0.150177
0.00733715 -0.00548869 -0.150167
0.00733299 -0.00549347 -0.150157
0.0073316 -0.00549235 -0.150154
0.00733243 -0.00550739 -0.150143
0.0073261 -0.00550046 -0.150134
0.00732259 -0.00549714 -0.15013
0.00732529 -0.00551269 -0.150132
0.00732353 -0.00550693 -0.150131
0.00732376 -0.00550311 -0.150129
0.0073342 -0.00550966 -0.150133
0.00733461 -0.00550991 -0.150133
0.00733495 -0.00551403 -0.150145
0.0073325 -0.00550933 -0.150166
0.00732148 -0.00550527 -0.150183
0.00731871 -0.00550919 -0.15019
0.00731866 -0.00550985 -0.150178
0.00731318 -0.00550344 -0.150162
0.00729914 -0.00550684 -0.150148
0.00728458 -0.00550787 -0.150136
0.00728754 -0.00550163 -0.15013
0.00728763 -0.00550518 -0.150135
0.00729926 -0.00551072 -0.150141
0.00729394 -0.00549951 -0.150155
0.00730378 -0.0054951 -0.150166
0.00729448 -0.0054955 -0.150174
0.00727974 -0.00548172 -0.150177
