%roll pitch yaw
-0.0369745 0.0643606 -1.03479
-0.0369783 0.0643662 -1.03492
-0.0369755 0.0643611 -1.03504
-0.0369801 0.0643563 -1.03517
-0.0369714 0.0643515 -1.03531
-0.0369661 0.0643456 -1.03544
-0.0369679 0.0643447 -1.03555
-0.0369778 0.0643387 -1.03567
-0.0369762 0.0643298 -1.03579
-0.036963 0.0643251 -1.03591
-0.0369551 0.0643155 -1.03604
-0.0369562 0.0643082 -1.03618
-0.036954 0.064315 -1.03633
-0.0369551 0.0643262 -1.03647
-0.0369643 0.0643297 -1.03662
-0.0369687 0.0643261 -1.03675
-0.0369784 0.0643188 -1.03688
-0.0369758 0.0643096 -1.03702
-0.0369654 0.0642973 -1.03715
-0.0369541 0.0642829 -1.03728
-0.0369589 0.0642655 -1.03743
-0.0369726 0.0642582 -1.03758
-0.0369873 0.0642463 -1.03773
-0.0369976 0.0642338 -1.03787
-0.0370034 0.064228 -1.03799
-0.0369902 0.0642236 -1.03813
-0.0369884 0.0642201 -1.03828
-0.0369903 0.064219 -1.03841
-0.0369842 0.0642202 -1.03855
-0.03698 0.0642178 -1.03868
-0.0369805 0.0642141 -1.03881
-0.036982 0.064203 -1.03892
-0.0369831 0.0641864 -1.03904
-0.0369731 0.0641846 -1.03914
-0.0369716 0.0641666 -1.03925
-0.036983 0.0641479 -1.03938
-0.0369842 0.0641346 -1.03952
-0.0369821 0.0641218 -1.03966
-0.0369805 0.0641053 -1.03979
-0.0369715 0.0640942 -1.03994
-0.0369808 0.0640932 -1.04008
-0.0369963 0.0640885 -1.04022
-0.0369877 0.0640779 -1.04036
-0.0369807 0.0640658 -1.04049
-0.0369763 0.0640589 -1.04063
-0.0369749 0.0640423 -1.04075
-0.0369755 0.064026 -1.04088
-0.0369772 0.0640121 -1.04101
-0.0369794 0.0640015 -1.04114
-0.0369974 0.064001 -1.04128
-0.0370084 0.0640036 -1.04141
-0.0370102 0.0639987 -1.04155
-0.0370151 0.0639824 -1.04168
-0.0370129 0.0639588 -1.04182
-0.0370076 0.0639319 -1.04193
-0.0370042 0.0639209 -1.04205
-0.0370014 0.0639135 -1.04217
-0.0369962 0.0638976 -1.04232
-0.0370034 0.0638865 -1.04247
-0.0370082 0.0638733 -1.04262
-0.0370084 0.0638599 -1.04275
-0.0370068 0.0638449 -1.04288
-0.0370125 0.0638241 -1.04302
-0.0370106 0.0638045 -1.04316
