%roll pitch yaw
-0.0554931 0.0751777 2.01606
-0.0555041 0.0751685 2.01593
-0.0555116 0.0751662 2.01578
-0.0555242 0.0751702 2.01564
-0.0555324 0.0751687 2.0155
-0.055533 0.0751682 2.01536
-0.055542 0.0751664 2.01521
-0.0555463 0.0751614 2.01506
-0.0555469 0.0751498 2.01492
-0.0555472 0.0751488 2.01479
-0.0555428 0.0751495 2.01465
-0.0555369 0.075138 2.01451
-0.0555278 0.0751406 2.01437
-0.0555107 0.0751473 2.01424
-0.0555122 0.0751457 2.01411
-0.0555094 0.0751525 2.01396
-0.0555043 0.0751567 2.01382
-0.0555015 0.0751525 2.01367
-0.0554981 0.0751531 2.01353
-0.0555009 0.0751428 2.01339
-0.055501 0.0751473 2.01325
-0.0555026 0.0751554 2.01312
-0.0554972 0.0751534 2.01301
-0.0554965 0.0751541 2.01288
-0.0554954 0.0751643 2.01274
-0.0554914 0.0751642 2.0126
-0.0554925 0.0751556 2.01247
-0.0554934 0.0751507 2.01235
-0.0555056 0.0751579 2.01223
-0.0555054 0.0751633 2.01212
-0.055505 0.0751584 2.012
-0.0555046 0.0751533 2.01188
-0.0555099 0.0751466 2.01175
-0.0555058 0.0751528 2.01162
-0.0555026 0.0751578 2.01149
-0.0555123 0.0751606 2.01136
-0.0555184 0.0751685 2.01124
-0.0555229 0.0751686 2.01112
-0.0555175 0.0751734 2.01099
-0.0555112 0.0751692 2.01086
-0.0555097 0.0751682 2.01073
-0.0555033 0.0751614 2.01059
-0.0555031 0.0751599 2.01047
-0.0555008 0.075156 2.01036
-0.0554984 0.0751489 2.01024
-0.0555074 0.0751493 2.01012
-0.0555043 0.0751504 2.00999
-0.0554999 0.0751588 2.00988
-0.0554986 0.0751714 2.00975
-0.0555017 0.0751733 2.00961
-0.0555062 0.0751857 2.00946
-0.0555146 0.0752007 2.00931
-0.0555117 0.075206 2.00918
-0.0555065 0.0752058 2.00904
-0.0555036 0.0751979 2.0089
-0.055497 0.0752015 2.00875
-0.0555003 0.0752064 2.0086
-0.0555015 0.0752107 2.00847
-0.0554991 0.075217 2.00834
-0.05549 0.0752206 2.00822
-0.0554849 0.0752207 2.0081
-0.0554863 0.0752139 2.00797
-0.055484 0.0752089 2.00784
-0.0554813 0.0751983 2.00769
-0.0554808 0.0751977 2.00754
-0.0554762 0.0752001 2.0074
-0.055479 0.0751952 2.00724
-0.0554925 0.075192 2.00709
-0.0554941 0.075193 2.00695
-0.0554935 0.0751887 2.00682
-0.0554905 0.0751834 2.00669
-0.0554969 0.0751811 2.00656
-0.0554999 0.0751826 2.00643
-0.0555112 0.0751895 2.00631
-0.0555046 0.0751996 2.0062
-0.0554934 0.0752059 2.00608
-0.0554927 0.0752108 2.00596
-0.0555056 0.0752152 2.00584
-0.055519 0.0752151 2.0057
-0.0555167 0.0752103 2.00557
-0.0555081 0.0752169 2.00543
-0.0555118 0.0752213 2.00529
-0.0555097 0.0752231 2.00515
-0.055506 0.075227 2.00501
-0.0555108 0.0752343 2.00486
-0.0555175 0.0752368 2.00472
-0.0555153 0.075238 2.00458
-0.0555157 0.0752384 2.00445
-0.0555119 0.0752451 2.00432
-0.0555112 0.0752447 2.0042
-0.0555123 0.075243 2.00408
-0.0555104 0.0752347 2.00397
-0.0555117 0.0752263 2.00385
-0.0555131 0.0752266 2.00371
-0.0555196 0.0752281 2.00357
-0.0555163 0.0752292 2.00345
-0.0555079 0.0752284 2.00332
-0.0555143 0.0752233 2.00321
-0.0555219 0.0752222 2.00309
-0.0555191 0.0752197 2.00295
-0.0555185 0.0752228 2.00281
-0.0555178 0.0752271 2.00267
-0.0555145 0.0752326 2.00254
-0.0555092 0.0752367 2.00241
-0.0555127 0.0752266 2.00228
-0.0555249 0.075217 2.00217
-0.0555297 0.0752172 2.00203
-0.0555226 0.0752151 2.00188
-0.0555136 0.0752008 2.00176
-0.0555173 0.075203 2.00163
-0.0555323 0.0752087 2.0015
-0.0555465 0.075223 2.00139
-0.0555453 0.0752213 2.00129
-0.0555372 0.0752281 2.00119
-0.055528 0.0752257 2.00106
-0.0555176 0.0752196 2.00092
-0.0555034 0.075216 2.00078
-0.0554932 0.075212 2.00062
-0.0554821 0.0752094 2.00047
-0.0554692 0.0752172 2.00033
-0.0554723 0.0752196 2.00018
-0.0554832 0.0752204 2.00004
-0.0554885 0.0752258 1.99988
-0.0554939 0.0752346 1.99975
-0.0554919 0.075246 1.99963
-0.055492 0.0752483 1.99952
-0.0554984 0.0752495 1.9994
-0.0555012 0.075252 1.99929
-0.0555067 0.0752515 1.99917
-0.0555231 0.0752448 1.99905
-0.0555318 0.0752379 1.99892
-0.055527 0.0752323 1.99879
-0.0555159 0.0752331 1.99866
-0.0555174 0.0752358 1.99854
-0.0555209 0.0752421 1.99842
-0.0555269 0.0752409 1.99829
-0.0555243 0.0752363 1.99815
-0.0555255 0.0752385 1.99801
-0.0555219 0.0752346 1.99788
-0.05552 0.0752392 1.99773
-0.0555142 0.0752448 1.9976
-0.0555065 0.0752419 1.99746
-0.0554942 0.0752313 1.99732
-0.0554816 0.0752208 1.99719
-0.0554783 0.0752088 1.99706
-0.0554836 0.0751973 1.99693
-0.0554839 0.075198 1.9968
-0.0554935 0.075205 1.99666
-0.0554962 0.0752227 1.99653
-0.0554936 0.0752355 1.9964
-0.0554962 0.0752264 1.99628
-0.055495 0.0752159 1.99615
-0.0554979 0.0752101 1.99601
-0.0554949 0.0752112 1.99587
-0.0554834 0.0752058 1.99575
-0.0554706 0.0752018 1.99563
-0.0554557 0.0751984 1.99551
-0.0554519 0.0751966 1.99539
-0.0554435 0.0751999 1.99527
-0.0554393 0.0752186 1.99515
-0.055445 0.0752304 1.99503
-0.0554568 0.0752419 1.99491
-0.0554621 0.0752457 1.99479
-0.055456 0.0752446 1.99466
-0.055456 0.0752456 1.99453
-0.0554685 0.0752468 1.99439
-0.0554732 0.0752401 1.99426
-0.0554851 0.0752361 1.99412
-0.0554885 0.0752342 1.99398
-0.0554868 0.0752386 1.99385
-0.0554889 0.0752398 1.99372
-0.0554826 0.0752405 1.99359
-0.0554765 0.0752293 1.99347
-0.0554779 0.0752271 1.99335
-0.0554778 0.0752202 1.99321
-0.0554713 0.075217 1.99308
-0.0554634 0.0752214 1.99295
-0.0554648 0.0752304 1.99281
-0.0554766 0.0752322 1.99267
-0.0554751 0.0752265 1.99253
-0.0554645 0.0752329 1.99241
-0.0554615 0.0752376 1.99228
-0.0554687 0.0752359 1.99215
-0.0554795 0.0752327 1.99202
-0.0554812 0.075233 1.99189
-0.055486 0.075241 1.99177
-0.055498 0.0752436 1.99164
-0.0554956 0.0752382 1.9915
-0.0554976 0.0752307 1.99136
-0.0555005 0.0752269 1.99122
-0.0555038 0.0752203 1.99107
-0.0555077 0.0752101 1.99092
-0.0555043 0.075211 1.99077
-0.0555091 0.0752145 1.99063
-0.0555051 0.0752066 1.9905
-0.055501 0.0752056 1.99037
-0.0554921 0.0751969 1.99025
-0.0554852 0.0751985 1.99013
-0.055491 0.0752058 1.98999
-0.0554928 0.0752112 1.98987
-0.0554868 0.0752158 1.98975
-0.0554851 0.0752196 1.98961
-0.0554802 0.0752272 1.98948
-0.0554648 0.0752303 1.98934
-0.0554635 0.0752285 1.98921
-0.0554755 0.0752209 1.98907
-0.0554849 0.0752221 1.98893
-0.0554883 0.0752236 1.98881
-0.0554883 0.0752292 1.98869
-0.0554864 0.0752212 1.98856
-0.0554851 0.0752186 1.98843
-0.0554812 0.075225 1.9883
-0.0554758 0.0752264 1.98816
-0.0554628 0.0752189 1.98803
-0.0554483 0.0752154 1.9879
-0.0554424 0.0752166 1.98778
-0.0554417 0.0752228 1.98765
-0.0554483 0.075233 1.98753
-0.0554503 0.075235 1.9874
-0.055459 0.0752346 1.98727
-0.055471 0.0752296 1.98715
-0.055482 0.0752219 1.98702
-0.0555035 0.0752204 1.98689
-0.0555175 0.0752184 1.98675
-0.055516 0.0752266 1.98662
-0.0555172 0.0752235 1.98647
-0.0555181 0.0752181 1.98632
-0.0555139 0.0752202 1.9862
-0.0555056 0.0752226 1.98608
-0.0555094 0.0752309 1.98595
-0.055506 0.0752297 1.98582
-0.0554946 0.0752234 1.9857
-0.0554865 0.0752157 1.98557
-0.0554888 0.0752114 1.98545
-0.0554889 0.07521 1.98532
-0.0554875 0.0752101 1.98518
-0.0554905 0.0752056 1.98504
-0.0554991 0.0752072 1.98491
-0.0555024 0.0752172 1.98478
-0.0555013 0.0752275 1.98466
-0.0554967 0.0752348 1.98453
-0.0554919 0.0752388 1.98439
-0.0554931 0.0752393 1.98426
-0.0554976 0.075235 1.98412
-0.055497 0.0752346 1.98399
-0.0554848 0.0752306 1.98385
-0.0554755 0.0752337 1.98372
-0.0554816 0.0752319 1.98358
-0.0554853 0.075222 1.98344
-0.0554869 0.0752222 1.98332
-0.0554877 0.075235 1.98321
-0.0554954 0.075243 1.98309
-0.0555036 0.0752413 1.98296
-0.0554955 0.0752428 1.98283
-0.055491 0.0752428 1.98272
-0.055485 0.0752354 1.98259
-0.0554778 0.0752284 1.98245
-0.055482 0.0752277 1.98231
-0.0554974 0.0752281 1.98216
-0.0555016 0.0752226 1.98201
-0.0554966 0.0752163 1.98187
-0.0554828 0.0752082 1.98173
-0.055484 0.0752088 1.98161
-0.055486 0.0752256 1.98149
-0.0554797 0.0752412 1.98135
-0.0554832 0.0752491 1.98122
-0.055484 0.0752587 1.9811
-0.0554907 0.0752721 1.98097
-0.0554944 0.0752711 1.98085
-0.0555011 0.0752651 1.98073
-0.0555116 0.0752636 1.98059
-0.0555177 0.0752623 1.98045
-0.055524 0.0752632 1.98029
-0.055532 0.0752579 1.98016
-0.0555282 0.075266 1.98003
-0.0555216 0.0752717 1.9799
-0.0555169 0.0752806 1.97975
-0.0555139 0.0752725 1.97961
-0.0554985 0.0752704 1.97949
-0.0554884 0.0752673 1.97936
-0.0554838 0.0752711 1.97924
-0.0554922 0.0752859 1.9791
-0.0554956 0.0752846 1.97897
-0.0555008 0.0752807 1.97886
-0.0554983 0.0752751 1.97874
-0.0554903 0.0752655 1.97862
-0.0554861 0.0752651 1.97849
-0.0554921 0.0752745 1.97837
-0.055492 0.0752773 1.97825
-0.0554883 0.075283 1.97815
-0.0554966 0.0752807 1.97804
-0.0555046 0.0752706 1.97791
-0.0555084 0.0752717 1.97777
-0.0555087 0.0752798 1.97763
-0.0555125 0.0752733 1.9775
-0.0555173 0.0752584 1.97737
-0.0555325 0.0752504 1.97724
-0.0555386 0.0752479 1.97712
-0.05554 0.07525 1.97698
-0.0555442 0.0752522 1.97684
