%roll pitch yaw
0.00575221 -0.00608988 -0.138495
0.00574784 -0.00610665 -0.138493
0.00574318 -0.00611707 -0.138499
0.00574563 -0.00613754 -0.138495
0.0057582 -0.00613655 -0.138492
0.00576843 -0.00613842 -0.138504
0.0057593 -0.00614517 -0.138508
0.00576503 -0.00616753 -0.138506
0.00576775 -0.00618143 -0.13851
0.0057594 -0.00618783 -0.138521
0.00575316 -0.00618542 -0.138533
0.00575065 -0.00619886 -0.138529
0.00575213 -0.00622206 -0.13853
0.00573799 -0.00623149 -0.138528
0.00573869 -0.00625191 -0.138527
0.00575102 -0.00627463 -0.138509
0.00575092 -0.0062787 -0.138503
0.0057513 -0.00627541 -0.138499
0.00575009 -0.00628351 -0.138498
0.00574778 -0.00628586 -0.138505
0.00574312 -0.00628176 -0.138511
0.00574321 -0.00628841 -0.13851
0.00573885 -0.00630134 -0.138505
0.00574323 -0.00630318 -0.138505
0.00575015 -0.00631831 -0.138504
0.00575607 -0.006336 -0.138511
0.00576215 -0.0063518 -0.138513
0.0057628 -0.00634979 -0.13853
0.00575628 -0.00634214 -0.138548
0.00574618 -0.00634232 -0.138564
0.00574099 -0.00635498 -0.13857
0.00573483 -0.00636014 -0.138574
0.0057324 -0.00636601 -0.138577
0.0057466 -0.00635543 -0.138585
0.00575011 -0.00635759 -0.138603
0.0057485 -0.00637792 -0.138613
0.00574565 -0.00639135 -0.138619
0.00574438 -0.00639801 -0.138632
0.00573736 -0.00639467 -0.138637
0.00573253 -0.00638834 -0.13864
0.00573333 -0.0063821 -0.138636
0.00573594 -0.00638787 -0.138631
0.00574767 -0.00639922 -0.138623
0.00575713 -0.00640768 -0.138599
0.00575555 -0.00641015 -0.138584
0.00575713 -0.0064102 -0.138586
0.00575667 -0.00640244 -0.138589
0.00576 -0.00639941 -0.138588
0.00575308 -0.00641378 -0.138578
0.0057348 -0.006411 -0.138561
0.00572279 -0.00639975 -0.13855
0.00572108 -0.006407 -0.13855
0.00572197 -0.00641537 -0.13856
0.00572469 -0.00640797 -0.138567
0.00571285 -0.00638606 -0.138575
0.00570891 -0.00637921 -0.138587
0.00570686 -0.00637289 -0.138571
0.00570838 -0.00636216 -0.138557
0.00571295 -0.00635194 -0.138544
0.00572071 -0.00635557 -0.138531
0.00571672 -0.00635791 -0.138527
0.00571347 -0.0063538 -0.138526
0.00571141 -0.00633998 -0.138533
0.00571761 -0.00634713 -0.138526
0.00572187 -0.0063445 -0.138514
0.0057309 -0.00633092 -0.138497
0.00573265 -0.00632843 -0.138493
0.00573994 -0.00634432 -0.138491
0.0057479 -0.00634106 -0.138487
0.005756 -0.00634179 -0.138469
0.00576294 -0.0063411 -0.13845
0.00575764 -0.00631121 -0.138448
0.00575301 -0.00629255 -0.138454
0.00575248 -0.00629094 -0.138461
0.00574963 -0.00628943 -0.138467
0.00575072 -0.0062789 -0.13846
0.00573876 -0.0062728 -0.13846
0.00573734 -0.00625895 -0.138452
0.00574306 -0.0062616 -0.138445
0.00574804 -0.00626991 -0.138441
0.00575576 -0.00627368 -0.138464
